Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
apply(JFreeChart),0,n/a,n/a,n/a
getDomainOrder(),0,n/a,n/a,n/a
getIconHeight(),0,n/a,n/a,n/a
getIconWidth(),0,n/a,n/a,n/a
"getQ1Value(String, String)",0,n/a,n/a,n/a
"getQ1Value(int, int)",0,n/a,n/a,n/a
isCompatibleValue(Object),0,1,1,1
org.jfree.chart.AreaChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.AreaChartTest.createAreaChart(),0,1,1,1
org.jfree.chart.AreaChartTest.setUp(),0,1,1,1
org.jfree.chart.AreaChartTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.AreaChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.AreaChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.AreaChartTest.testSetSeriesURLGenerator(),0,1,1,1
org.jfree.chart.BarChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.BarChartTest.createBarChart(),0,1,1,1
org.jfree.chart.BarChartTest.setUp(),0,1,1,1
org.jfree.chart.BarChartTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.BarChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.BarChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.BarChartTest.testSetSeriesURLGenerator(),0,1,1,1
"org.jfree.chart.ChartColor.ChartColor(int, int, int)",0,1,1,1
org.jfree.chart.ChartColor.createDefaultPaintArray(),0,1,1,1
"org.jfree.chart.ChartFactory.createAreaChart(String, String, String, CategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createAreaChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createBarChart(String, String, String, CategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createBarChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, ...)",4,1,5,5
"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String, String, String, BoxAndWhiskerCategoryDataset, boolean)",0,1,1,1
"org.jfree.chart.ChartFactory.createBoxAndWhiskerChart(String, String, String, BoxAndWhiskerXYDataset, boolean)",0,1,1,1
"org.jfree.chart.ChartFactory.createBubbleChart(String, String, String, XYZDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createBubbleChart(String, String, String, XYZDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createCandlestickChart(String, String, String, OHLCDataset, boolean)",0,1,1,1
"org.jfree.chart.ChartFactory.createGanttChart(String, String, String, IntervalCategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createGanttChart(String, String, String, IntervalCategoryDataset, boolean, boolean, boolean)",2,1,3,3
"org.jfree.chart.ChartFactory.createHighLowChart(String, String, String, OHLCDataset, boolean)",0,1,1,1
"org.jfree.chart.ChartFactory.createHistogram(String, String, String, IntervalXYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createHistogram(String, String, String, IntervalXYDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createLineChart(String, String, String, CategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createLineChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createMultiplePieChart(String, CategoryDataset, TableOrder, boolean, boolean, boolean)",2,1,3,3
"org.jfree.chart.ChartFactory.createPieChart(String, PieDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createPieChart(String, PieDataset, PieDataset, int, boolean, boolean, boolean, ...)",37,1,15,19
"org.jfree.chart.ChartFactory.createPieChart(String, PieDataset, boolean, boolean, Locale)",1,1,2,2
"org.jfree.chart.ChartFactory.createPieChart(String, PieDataset, boolean, boolean, boolean)",2,1,3,3
"org.jfree.chart.ChartFactory.createPolarChart(String, XYDataset, boolean, boolean, boolean)",0,1,1,1
"org.jfree.chart.ChartFactory.createRingChart(String, PieDataset, boolean, boolean, Locale)",1,1,2,2
"org.jfree.chart.ChartFactory.createRingChart(String, PieDataset, boolean, boolean, boolean)",2,1,3,3
"org.jfree.chart.ChartFactory.createScatterPlot(String, String, String, XYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createScatterPlot(String, String, String, XYDataset, PlotOrientation, boolean, boolean, ...)",2,1,1,3
"org.jfree.chart.ChartFactory.createStackedAreaChart(String, String, String, CategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createStackedAreaChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createStackedBarChart(String, String, String, CategoryDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createStackedBarChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, ...)",2,1,3,3
"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String, String, String, TableXYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createStackedXYAreaChart(String, String, String, TableXYDataset, PlotOrientation, boolean, boolean, ...)",2,1,1,3
"org.jfree.chart.ChartFactory.createTimeSeriesChart(String, String, String, XYDataset)",0,1,1,1
"org.jfree.chart.ChartFactory.createTimeSeriesChart(String, String, String, XYDataset, boolean, boolean, boolean)",2,1,2,3
"org.jfree.chart.ChartFactory.createWaferMapChart(String, WaferMapDataset, PlotOrientation, boolean, boolean, boolean)",0,1,1,1
