Chidamber-Kemerer metrics,lun., 24 oct. 2022 22:54:29 EDT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.AreaChartTest,14,0,1,0,27,6
org.jfree.chart.AreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.BarChartTest,14,0,1,0,27,6
org.jfree.chart.BarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.ChartColor,1,0,1,0,2,2
org.jfree.chart.ChartElement,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartFactory,121,0,1,0,163,131
org.jfree.chart.ChartHints,3,0,0,0,2,1
org.jfree.chart.ChartHints.Key,1,0,1,2,2,5
org.jfree.chart.ChartRenderingInfo,41,0,1,0,19,21
org.jfree.chart.ChartRenderingInfoTest,7,0,4,0,22,4
org.jfree.chart.ChartTheme,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartTransferable,2,0,1,0,9,13
org.jfree.chart.ChartUtils,14,0,9,0,45,32
org.jfree.chart.Drawable,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.GanttChartTest,14,0,1,0,31,9
org.jfree.chart.GanttChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.JFreeChart,120,0,2,0,125,157
org.jfree.chart.JFreeChartTest,19,0,11,0,64,14
org.jfree.chart.LegendItemCollectionTest,4,0,3,0,13,3
org.jfree.chart.LegendItemTest,5,0,4,0,19,4
org.jfree.chart.LineChartTest,13,0,1,0,26,6
org.jfree.chart.LineChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.MeterChartTest,5,0,1,0,8,1
org.jfree.chart.PieChartTest,5,0,1,0,12,3
org.jfree.chart.PieChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.ScatterPlotTest,12,0,1,0,25,5
org.jfree.chart.ScatterPlotTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StackedAreaChartTest,14,0,1,0,27,6
org.jfree.chart.StackedAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StackedBarChartTest,13,0,1,0,27,6
org.jfree.chart.StackedBarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StandardChartTheme,57,0,4,1,225,200
org.jfree.chart.StandardChartThemeTest,7,0,3,0,42,3
org.jfree.chart.TestUtils,301,0,3,0,31,5
org.jfree.chart.TimeSeriesChartTest,12,0,1,0,25,5
org.jfree.chart.TimeSeriesChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.WaterfallChartTest,11,0,1,0,18,5
org.jfree.chart.XYAreaChartTest,12,0,1,0,25,5
org.jfree.chart.XYAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYBarChartTest,14,0,1,0,26,5
org.jfree.chart.XYBarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYLineChartTest,12,0,1,0,25,5
org.jfree.chart.XYLineChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYStepAreaChartTest,12,0,1,0,25,5
org.jfree.chart.XYStepAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYStepChartTest,13,0,1,0,25,5
org.jfree.chart.XYStepChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.annotations.AbstractAnnotation,20,0,1,3,13,15
org.jfree.chart.annotations.AbstractXYAnnotation,18,1,4,9,14,16
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.CategoryLineAnnotation,19,1,1,0,40,29
org.jfree.chart.annotations.CategoryLineAnnotationTest,3,0,6,0,23,6
org.jfree.chart.annotations.CategoryPointerAnnotation,18,3,1,0,50,35
org.jfree.chart.annotations.CategoryPointerAnnotationTest,4,0,5,0,25,5
org.jfree.chart.annotations.CategoryTextAnnotation,21,2,1,1,34,19
org.jfree.chart.annotations.CategoryTextAnnotationTest,4,0,5,0,18,5
org.jfree.chart.annotations.TextAnnotation,9,1,6,1,24,25
org.jfree.chart.annotations.TextAnnotationTest,6,0,4,0,19,5
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.annotations.XYBoxAnnotation,13,2,1,0,34,30
org.jfree.chart.annotations.XYBoxAnnotationTest,10,0,7,0,29,7
org.jfree.chart.annotations.XYDataImageAnnotation,13,2,2,0,30,28
org.jfree.chart.annotations.XYDrawableAnnotation,12,2,1,0,26,21
org.jfree.chart.annotations.XYDrawableAnnotationTest,4,0,5,0,17,5
